Geographic Area Name,Estimate!!Total!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher
Alaska,121662
Maine,298234
North Carolina,1754400
Missouri,1069915
Pennsylvania,2448709
Michigan,1684039
Nebraska,375862
Oregon,879977
Wyoming,99097
California,5737180
Mississippi,328165
Connecticut,820696
Texas,4203417
Idaho,297287
Maryland,1082858
New Mexico,337253
Alabama,663038
Tennessee,1056251
Vermont,161585
Nevada,374516
West Virginia,256360
Oklahoma,536633
Wisconsin,1094838
Kansas,577723
Virginia,1708002
North Dakota,134877
New Jersey,1782058
Ohio,2005736
South Carolina,806478
Georgia,1474955
Colorado,1448839
Hawaii,116807
South Dakota,158079
Indiana,1054070
Kentucky,680194
Louisiana,574764
Washington,1495674
Illinois,2366081
Iowa,567298
New Hampshire,334484
Rhode Island,223234
Arkansas,402377
Delaware,161980
Minnesota,1243467
Montana,218732
Arizona,1206106
Florida,3809223
Massachusetts,1778246
District of Columbia,204897
Utah,594106
New York,3712238
